tag,category,implications
0r0,4,
1_eye,103,
1_horn,103,horn
2_heads,103,multi_head
2_horns,103,horn
2_penises,103,multi_penis
2_tails,103,multi_tail
2_toes,103,toes
3_claws,103,claws
3_eyes,103,multi_eye
3_fingers,103,fingers
3_heads,103,multi_head
3_horns,103,multi_horn
3_tails,103,multi_tail
3_toes,103,toes
3d_(artwork),7,digital_media_(artwork)
4_arms,103,multi_arm
4_balls,103,multi_balls
4_breasts,103,multi_breast
4_ears,103,multi_ear
4_eyes,103,multi_eye
4_fingers,103,fingers
4_horns,103,multi_horn
4_missing_limbs,103,
4_toes,103,toes
5_eyes,103,multi_eye
5_fingers,103,fingers
5_toes,103,toes
69_position,101,oral sex
6_arms,103,multi_arm
6_breasts,103,multi_breast
6_nipples,103,multi_nipple
808_(hi-fi_rush),4,
9_tails,103,multi_tail
:<,101,closed_frown
a-chan,4,
aak_(arknights),4,
aardvark,5,mammal
aardwolf,5,hyena
abdominal_bulge,103,
abra,5,pokemon_(species)
abs,103,
absol,5,pokemon_(species)
absolute_territory,111,
absolutely_everyone,111,group
absorption_vore,105,vore
abstract_background,107,
abuse,105,
accessory,100,
accident,108,
accidental_exposure,108,accident
accipitrid,5,accipitriform
accipitriform,5,bird
acoustic_guitar,100,guitar
action_pose,108,pose
adelia_(changbae),4,
adolescent,106,young
adolescent_on_adolescent,106,adolescent
adorabat,4,
advertisement,108,
aeris_(vg_cats),4,
afghan_hound,5,sighthound
african_wild_dog,5,canine
afro,103,hair
after_anal,108,
after_fellatio,108,after_oral after_sex
after_kiss,108,
after_masturbation,108,
after_oral,108,
after_orgasm,108,
after_penetration,108,
after_rape,108,after_sex
after_sex,108,
after_transformation,108,
after_vaginal,108,
after_vaginal_penetration,108,after_penetration after_vaginal
after_vore,108,vore
against_surface,108,
against_tree,108,against_surface tree
against_wall,108,against_surface
agamid,5,lizard
age_difference,101,
aged_up,101,
ageplay,105,roleplay
aggretsuko,3,
aggron,5,pokemon_(species)
agumon,5,digimon_(species)
agyo_(tas),4,
ahegao,105,looking_pleasured
ahoge,103,hair
ahri_(lol),4,
ahsoka_tano,4,
ailurid,5,mammal
air_bubble,104,bubble
air_inflation,105,inflation
aircraft,100,vehicle
